instance,precedence_encoding,precedence_graph,precedence_configuration,solver,objective,domain_mode,basic,imp1,imp2,imp12,imp12+
tic-14crafa.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.3 2
tic-14crafa.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.3 2
tic-14crafa.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.1 2
tic-14crafa.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.2 2
tic-14crafa.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.2 2
tic-14crafa.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,UNSAT
tic-14crafa.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,UNSAT
tic-14crafa.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,UNSAT
tic-14crafa.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT
tic-14crafa.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT
tic-14crafa.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT
tic-14crafc.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.2 2
tic-14crafc.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.3 2
tic-14crafc.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.3 2
tic-14crafc.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.2 2
tic-14crafc.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.2 2
tic-14crafc.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.2 2
tic-14crafc.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,UNSAT
tic-14crafc.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,UNSAT
tic-14crafc.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,UNSAT
tic-14crafc.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT
tic-14crafc.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT
tic-14crafc.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT
tic-14crafd.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.2 3
tic-14crafd.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.4 3
tic-14crafd.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.2 3
tic-14crafd.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.2 3
tic-14crafd.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.3 3
